Time(ms),C1_Sign, C1_CPM, C1_uSv, C2_Sign, C2_CPM, C2_uSv, MuonCount, MuonCPM
6720467,0,0,0.0,0,0,0.0,0,0
6735468,0,0,0.0,0,0,0.0,1,4
6750469,0,0,0.0,0,0,0.0,0,0
6765470,0,0,0.0,0,0,0.0,1,4
6780471,0,0,0.0,0,0,0.0,1,4
6795472,0,0,0.0,0,0,0.0,0,0
6810473,0,0,0.0,0,0,0.0,3,12
6825474,0,0,0.0,0,0,0.0,0,0
6840475,0,0,0.0,0,0,0.0,0,0
6855476,0,0,0.0,0,0,0.0,1,4
6870477,0,0,0.0,0,0,0.0,1,4
6885478,0,0,0.0,0,0,0.0,0,0
6900480,0,0,0.0,0,0,0.0,1,4
6915481,0,0,0.0,26,104,1.96,1,4
6930482,0,0,0.0,0,0,0.0,0,0
6945483,0,0,0.0,0,0,0.0,2,8
6960484,0,0,0.0,0,0,0.0,0,0
6975485,0,0,0.0,0,0,0.0,1,4
6990486,0,0,0.0,0,0,0.0,2,8
7005487,0,0,0.0,0,0,0.0,1,4
7020488,0,0,0.0,0,0,0.0,0,0
7035489,0,0,0.0,0,0,0.0,0,0
7050490,0,0,0.0,0,0,0.0,0,0
7065491,0,0,0.0,35,140,2.64,3,12
7080492,0,0,0.0,0,0,0.0,1,4
7095493,0,0,0.0,0,0,0.0,2,8
7110494,0,0,0.0,0,0,0.0,0,0
7125495,0,0,0.0,0,0,0.0,1,4
7140496,0,0,0.0,0,0,0.0,0,0
7155497,0,0,0.0,0,0,0.0,2,8
7170498,31,124,2.34,0,0,0.0,1,4
7185499,0,0,0.0,0,0,0.0,0,0
7200500,0,0,0.0,0,0,0.0,0,0
7215501,0,0,0.0,0,0,0.0,0,0
7230502,30,120,2.26,0,0,0.0,1,4
7245503,0,0,0.0,0,0,0.0,1,4
7260504,0,0,0.0,0,0,0.0,0,0
7275505,0,0,0.0,0,0,0.0,1,4
7290506,0,0,0.0,0,0,0.0,5,20
7305507,0,0,0.0,0,0,0.0,1,4
7320508,0,0,0.0,0,0,0.0,0,0
7335510,0,0,0.0,0,0,0.0,7,28
7350511,0,0,0.0,0,0,0.0,1,4
7365512,0,0,0.0,27,108,2.04,1,4
7380513,27,108,2.04,0,0,0.0,2,8
7395514,0,0,0.0,0,0,0.0,0,0
7410515,0,0,0.0,0,0,0.0,0,0
7425516,0,0,0.0,0,0,0.0,2,8
7440517,0,0,0.0,0,0,0.0,1,4
7455518,0,0,0.0,0,0,0.0,2,8
7470519,0,0,0.0,20,80,1.51,0,0
7485520,0,0,0.0,0,0,0.0,5,20
7500521,0,0,0.0,0,0,0.0,2,8
7515522,0,0,0.0,18,72,1.36,4,16
7530523,0,0,0.0,0,0,0.0,0,0
